"BACKSPACE_COUNT","CAC","CAR","CAT_R","CCC","CONDITION","CORRECTED_ERROR_RATE","CPS","ERROR_RATE","TEST_ID","INPUT_TIME","IS_LENGTH","KEYSTROKES_PER_CHARACTER","LEVENSHTEIN_DELETION","LEVENSHTEIN_INSERTION","LEVENSHTEIN_SUBSTITUTION","MINIMUM_STRING_DISTANCE","PHRASE_NUMBER","PT","PT_LENGTH","PARTICIPANT_ID","TOTAL_ERROR_RATE","TOTAL_PHRASES","TT","TT_LENGTH","T_CAT","VST","WPM","DATE"
0,0,0,0,0,"off",0,7.84220532319392,0,"2xLmSHgHeUSCsObsz9Vr",4.208,37,1.08823529411765,0,0,0,0,2,"staying up all night is a bad idea",34,"2k6c3UE1moGMXX5sANSS",0,12,"staying up all night is a bad idea",34,0,169,94.106463878327,2022-02-09 09:54:39
3,5,12.8205128205128,78.9663540368597,2,"off",8.82352941176471,1.96760018364268,0,"2xLmSHgHeUSCsObsz9Vr",15.247,39,1.25806451612903,0,0,0,0,1,"your presentation was inspiring",31,"2k6c3UE1moGMXX5sANSS",8.82352941176471,12,"your presentation was inspiring",31,12.04,2145,23.6112022037122,2022-02-09 09:54:39
0,0,0,0,0,"off",0,11.3314447592068,0,"2xLmSHgHeUSCsObsz9Vr",2.471,29,1,0,0,0,0,4,"i just cannot figure this out",29,"2k6c3UE1moGMXX5sANSS",0,12,"i just cannot figure this out",29,0,186,135.977337110482,2022-02-09 09:54:39
0,0,0,0,0,"off",0,8.71776244097348,0,"2xLmSHgHeUSCsObsz9Vr",2.753,25,1,0,0,0,0,5,"we accept personal checks",25,"2k6c3UE1moGMXX5sANSS",0,12,"we accept personal checks",25,0,105,104.613149291682,2022-02-09 09:54:39
0,0,0,0,0,"off",0,6.07843137254902,0,"2xLmSHgHeUSCsObsz9Vr",5.1,32,1,0,0,0,0,3,"my favourite sport is racketball",32,"2k6c3UE1moGMXX5sANSS",0,12,"my favourite sport is racketball",32,0,193,72.9411764705882,2022-02-09 09:54:39
2,2,6.45161290322581,13.2725430597771,0,"off",6.89655172413793,5.26849037487335,0,"2xLmSHgHeUSCsObsz9Vr",4.935,31,1.14814814814815,0,0,0,0,8,"every apple from every tree",27,"2k6c3UE1moGMXX5sANSS",6.89655172413793,12,"every apple from every tree",27,0.655,101,63.2218844984802,2022-02-09 09:54:39
0,0,0,0,0,"off",0,10.0877192982456,0,"2xLmSHgHeUSCsObsz9Vr",2.28,24,1,0,0,0,0,9,"this is a very good idea",24,"2k6c3UE1moGMXX5sANSS",0,12,"this is a very good idea",24,0,106,121.052631578947,2022-02-09 09:54:39
0,0,0,0,0,"off",0,10.2120974076984,7.40740740740741,"2xLmSHgHeUSCsObsz9Vr",2.546,27,1,1,1,0,7.40740740740741,7,"most judges are very honest",27,"2k6c3UE1moGMXX5sANSS",7.40740740740741,12,"most judgest are very hoest",27,0,174,122.54516889238,2022-02-09 09:54:39
0,0,0,0,0,"off",0,7.64400764400764,0,"2xLmSHgHeUSCsObsz9Vr",3.663,29,1,0,0,0,0,6,"lie detector tests never work",29,"2k6c3UE1moGMXX5sANSS",0,12,"lie detector tests never work",29,0,270,91.7280917280917,2022-02-09 09:54:39
2,2,7.40740740740741,16.4931506849315,0,"off",8,6.02739726027397,0,"2xLmSHgHeUSCsObsz9Vr",3.65,27,1.17391304347826,0,0,0,0,11,"a most ridiculous thing",23,"2k6c3UE1moGMXX5sANSS",8,12,"a most ridiculous thing",23,0.602,271,72.3287671232877,2022-02-09 09:54:39
