BACKSPACE_COUNT,CAC,CAR,CAT_R,CCC,CONDITION,CORRECTED_ERROR_RATE,CPS,ERROR_RATE,ID,INPUT_TIME,IS_LENGTH,KEYSTROKES_PER_CHARACTER,LEVENSHTEIN_DELETION,LEVENSHTEIN_INSERTION,LEVENSHTEIN_SUBSTITUTION,MINIMUM_STRING_DISTANCE,PHRASE_NUMBER,PT,PT_LENGTH,SESSION,TOTAL_ERROR_RATE,TOTAL_PHRASES,TT,TT_LENGTH,T_CAT,VST,WPM
0,0,0,0,0,off,0,7.842205323193916,0,2xLmSHgHeUSCsObsz9Vr,4.208,37,1.088235294117647,0,0,0,0,2,staying up all night is a bad idea,34,2k6c3UE1moGMXX5sANSS,0,12,staying up all night is a bad idea,34,0,169,94.10646387832699
3,5,12.82051282051282,78.96635403685971,2,off,8.823529411764707,1.9676001836426837,0,2xLmSHgHeUSCsObsz9Vr,15.247,39,1.2580645161290323,0,0,0,0,1,your presentation was inspiring,31,2k6c3UE1moGMXX5sANSS,8.823529411764707,12,your presentation was inspiring,31,12.04,2145,23.611202203712203
0,0,0,0,0,off,0,11.331444759206798,0,2xLmSHgHeUSCsObsz9Vr,2.471,29,1,0,0,0,0,4,i just cannot figure this out,29,2k6c3UE1moGMXX5sANSS,0,12,i just cannot figure this out,29,0,186,135.97733711048159
0,0,0,0,0,off,0,8.717762440973484,0,2xLmSHgHeUSCsObsz9Vr,2.753,25,1,0,0,0,0,5,we accept personal checks,25,2k6c3UE1moGMXX5sANSS,0,12,we accept personal checks,25,0,105,104.61314929168181
0,0,0,0,0,off,0,6.07843137254902,0,2xLmSHgHeUSCsObsz9Vr,5.1,32,1,0,0,0,0,3,my favourite sport is racketball,32,2k6c3UE1moGMXX5sANSS,0,12,my favourite sport is racketball,32,0,193,72.94117647058825
2,2,6.451612903225806,13.272543059777103,0,off,6.896551724137931,5.268490374873354,0,2xLmSHgHeUSCsObsz9Vr,4.935,31,1.1481481481481481,0,0,0,0,8,every apple from every tree,27,2k6c3UE1moGMXX5sANSS,6.896551724137931,12,every apple from every tree,27,0.655,101,63.22188449848024
0,0,0,0,0,off,0,10.087719298245615,0,2xLmSHgHeUSCsObsz9Vr,2.28,24,1,0,0,0,0,9,this is a very good idea,24,2k6c3UE1moGMXX5sANSS,0,12,this is a very good idea,24,0,106,121.05263157894737
0,0,0,0,0,off,0,10.212097407698352,7.4074074074074066,2xLmSHgHeUSCsObsz9Vr,2.546,27,1,1,1,0,7.4074074074074066,7,most judges are very honest,27,2k6c3UE1moGMXX5sANSS,7.4074074074074066,12,most judgest are very hoest,27,0,174,122.54516889238022
0,0,0,0,0,off,0,7.644007644007645,0,2xLmSHgHeUSCsObsz9Vr,3.663,29,1,0,0,0,0,6,lie detector tests never work,29,2k6c3UE1moGMXX5sANSS,0,12,lie detector tests never work,29,0,270,91.72809172809174
2,2,7.4074074074074066,16.493150684931507,0,off,8,6.027397260273973,0,2xLmSHgHeUSCsObsz9Vr,3.65,27,1.173913043478261,0,0,0,0,11,a most ridiculous thing,23,2k6c3UE1moGMXX5sANSS,8,12,a most ridiculous thing,23,0.602,271,72.32876712328768
0,0,0,0,0,off,0,9.014609884986012,0,2xLmSHgHeUSCsObsz9Vr,3.217,30,1,0,0,0,0,12,prayer in schools offends some,30,2k6c3UE1moGMXX5sANSS,0,12,prayer in schools offends some,30,0,222,108.17531861983214
0,0,0,0,0,off,0,7.859733978234583,0,2xLmSHgHeUSCsObsz9Vr,3.308,27,1,0,0,0,0,10,relations are very strained,27,2k6c3UE1moGMXX5sANSS,0,12,relations are very strained,27,0,121,94.316807738815
0,0,0,0,0,normal,0,3.666734569158688,0,kqMna9qVOShlqvQ9xYsO,4.909,19,1,0,0,0,0,2,do not say anything,19,2k6c3UE1moGMXX5sANSS,0,12,do not say anything,19,0,148,44.00081482990426
1,1,3.571428571428571,9.848484848484848,0,normal,3.7037037037037033,5.9185606060606055,0,kqMna9qVOShlqvQ9xYsO,4.224,28,1.0769230769230769,0,0,0,0,3,olympic athletes use drugs,26,2k6c3UE1moGMXX5sANSS,3.7037037037037033,12,olympic athletes use drugs,26,0.416,59,71.02272727272727
0,0,0,0,0,normal,0,7.332326935518655,0,kqMna9qVOShlqvQ9xYsO,4.637,35,1,0,0,0,0,4,keep receipts for all your expenses,35,2k6c3UE1moGMXX5sANSS,0,12,keep receipts for all your expenses,35,0,160,87.98792322622386
